T(K),Al_Cp,Al_H,Al_S,Al_Hfus,Al_Sfus,Cu_Cp,Cu_H,Cu_S,Cu_Hfus,Cu_Sfus,Mg_Cp,Mg_H,Mg_S,Mg_Hfus,Mg_Sfus,Si_Cp,Si_H,Si_S,Si_Hfus,Si_Sfus,Zn_Cp,Zn_H,Zn_S,Zn_Hfus,Zn_Sfus
300,24.325,45,28.45,10711,11.474,24.471,45,33.301,13263,9.768,24.892,46,32.825,8477,9.184,20.055,37,18.934,50208,29.762,25.412,47,41.787,7322,10.571
302,24.361,94,28.612,10711,11.474,24.496,94,33.464,13263,9.768,24.923,96,32.99,8477,9.184,20.115,77,19.067,50208,29.762,25.428,98,41.956,7322,10.571
304,24.396,142,28.773,10711,11.474,24.52,143,33.626,13263,9.768,24.954,146,33.155,8477,9.184,20.173,118,19.2,50208,29.762,25.444,149,42.124,7322,10.571
306,24.431,191,28.933,10711,11.474,24.545,192,33.787,13263,9.768,24.984,196,33.319,8477,9.184,20.231,158,19.333,50208,29.762,25.46,200,42.291,7322,10.571
308,24.466,240,29.092,10711,11.474,24.569,241,33.947,13263,9.768,25.014,246,33.482,8477,9.184,20.287,198,19.465,50208,29.762,25.476,251,42.457,7322,10.571
310,24.5,289,29.251,10711,11.474,24.593,291,34.106,13263,9.768,25.044,296,33.644,8477,9.184,20.343,239,19.596,50208,29.762,25.492,302,42.622,7322,10.571
312,24.534,338,29.409,10711,11.474,24.617,340,34.264,13263,9.768,25.074,346,33.805,8477,9.184,20.398,280,19.727,50208,29.762,25.508,353,42.786,7322,10.571
314,24.567,387,29.565,10711,11.474,24.64,389,34.421,13263,9.768,25.103,396,33.965,8477,9.184,20.452,321,19.858,50208,29.762,25.525,404,42.949,7322,10.571
316,24.6,436,29.721,10711,11.474,24.663,438,34.578,13263,9.768,25.132,446,34.125,8477,9.184,20.504,362,19.988,50208,29.762,25.541,455,43.111,7322,10.571
318,24.633,486,29.877,10711,11.474,24.686,488,34.733,13263,9.768,25.16,497,34.283,8477,9.184,20.556,403,20.117,50208,29.762,25.558,506,43.272,7322,10.571
320,24.666,535,30.031,10711,11.474,24.708,537,34.888,13263,9.768,25.188,547,34.441,8477,9.184,20.608,444,20.246,50208,29.762,25.574,557,43.432,7322,10.571
322,24.698,584,30.185,10711,11.474,24.731,587,35.042,13263,9.768,25.216,597,34.598,8477,9.184,20.658,485,20.375,50208,29.762,25.591,608,43.592,7322,10.571
324,24.73,634,30.338,10711,11.474,24.753,636,35.196,13263,9.768,25.244,648,34.754,8477,9.184,20.708,526,20.503,50208,29.762,25.607,659,43.75,7322,10.571
326,24.761,683,30.49,10711,11.474,24.775,686,35.348,13263,9.768,25.271,698,34.91,8477,9.184,20.757,568,20.631,50208,29.762,25.624,710,43.908,7322,10.571
328,24.793,733,30.642,10711,11.474,24.796,735,35.5,13263,9.768,25.298,749,35.064,8477,9.184,20.805,609,20.758,50208,29.762,25.641,762,44.065,7322,10.571
330,24.824,782,30.793,10711,11.474,24.818,785,35.65,13263,9.768,25.325,799,35.218,8477,9.184,20.852,651,20.884,50208,29.762,25.658,813,44.221,7322,10.571
332,24.855,832,30.943,10711,11.474,24.839,834,35.8,13263,9.768,25.352,850,35.371,8477,9.184,20.899,693,21.01,50208,29.762,25.675,864,44.376,7322,10.571
334,24.885,882,31.092,10711,11.474,24.86,884,35.95,13263,9.768,25.378,901,35.524,8477,9.184,20.945,735,21.136,50208,29.762,25.692,916,44.53,7322,10.571
336,24.916,932,31.241,10711,11.474,24.881,934,36.098,13263,9.768,25.404,952,35.675,8477,9.184,20.99,777,21.261,50208,29.762,25.709,967,44.683,7322,10.571
338,24.946,981,31.389,10711,11.474,24.901,984,36.246,13263,9.768,25.43,1002,35.826,8477,9.184,21.035,819,21.386,50208,29.762,25.726,1019,44.836,7322,10.571
340,24.976,1031,31.536,10711,11.474,24.921,1033,36.393,13263,9.768,25.455,1053,35.976,8477,9.184,21.078,861,21.51,50208,29.762,25.743,1070,44.988,7322,10.571
342,25.005,1081,31.683,10711,11.474,24.942,1083,36.539,13263,9.768,25.481,1104,36.126,8477,9.184,21.122,903,21.634,50208,29.762,25.76,1122,45.139,7322,10.571
344,25.035,1131,31.829,10711,11.474,24.962,1133,36.684,13263,9.768,25.506,1155,36.274,8477,9.184,21.164,945,21.757,50208,29.762,25.777,1173,45.289,7322,10.571
346,25.064,1182,31.974,10711,11.474,24.981,1183,36.829,13263,9.768,25.531,1206,36.422,8477,9.184,21.207,988,21.88,50208,29.762,25.795,1225,45.439,7322,10.571
348,25.093,1232,32.118,10711,11.474,25.001,1233,36.973,13263,9.768,25.556,1257,36.569,8477,9.184,21.248,1030,22.002,50208,29.762,25.812,1276,45.587,7322,10.571
350,25.122,1282,32.262,10711,11.474,25.02,1283,37.117,13263,9.768,25.58,1309,36.716,8477,9.184,21.289,1073,22.124,50208,29.762,25.829,1328,45.735,7322,10.571
352,25.151,1332,32.405,10711,11.474,25.04,1333,37.259,13263,9.768,25.605,1360,36.862,8477,9.184,21.329,1115,22.246,50208,29.762,25.847,1380,45.882,7322,10.571
354,25.179,1382,32.548,10711,11.474,25.059,1383,37.401,13263,9.768,25.629,1411,37.007,8477,9.184,21.369,1158,22.367,50208,29.762,25.865,1431,46.029,7322,10.571
356,25.207,1433,32.69,10711,11.474,25.078,1433,37.542,13263,9.768,25.653,1462,37.151,8477,9.184,21.408,1201,22.487,50208,29.762,25.882,1483,46.175,7322,10.571
358,25.235,1483,32.831,10711,11.474,25.096,1484,37.683,13263,9.768,25.677,1514,37.295,8477,9.184,21.447,1244,22.607,50208,29.762,25.9,1535,46.32,7322,10.571
360,25.263,1534,32.972,10711,11.474,25.115,1534,37.823,13263,9.768,25.701,1565,37.438,8477,9.184,21.485,1287,22.727,50208,29.762,25.918,1587,46.464,7322,10.571
362,25.291,1584,33.112,10711,11.474,25.133,1584,37.962,13263,9.768,25.724,1616,37.581,8477,9.184,21.523,1330,22.846,50208,29.762,25.935,1638,46.608,7322,10.571
364,25.319,1635,33.251,10711,11.474,25.152,1634,38.101,13263,9.768,25.748,1668,37.722,8477,9.184,21.56,1373,22.965,50208,29.762,25.953,1690,46.751,7322,10.571
366,25.346,1686,33.39,10711,11.474,25.17,1685,38.238,13263,9.768,25.771,1719,37.864,8477,9.184,21.597,1416,23.083,50208,29.762,25.971,1742,46.893,7322,10.571
368,25.373,1736,33.528,10711,11.474,25.188,1735,38.376,13263,9.768,25.794,1771,38.004,8477,9.184,21.633,1459,23.201,50208,29.762,25.989,1794,47.035,7322,10.571
370,25.4,1787,33.666,10711,11.474,25.206,1785,38.512,13263,9.768,25.817,1823,38.144,8477,9.184,21.669,1502,23.318,50208,29.762,26.007,1846,47.175,7322,10.571
372,25.427,1838,33.803,10711,11.474,25.223,1836,38.648,13263,9.768,25.84,1874,38.283,8477,9.184,21.705,1546,23.435,50208,29.762,26.025,1898,47.316,7322,10.571
374,25.454,1889,33.939,10711,11.474,25.241,1886,38.783,13263,9.768,25.862,1926,38.422,8477,9.184,21.74,1589,23.551,50208,29.762,26.044,1950,47.455,7322,10.571
376,25.481,1940,34.075,10711,11.474,25.258,1937,38.918,13263,9.768,25.885,1978,38.56,8477,9.184,21.774,1633,23.667,50208,29.762,26.062,2002,47.594,7322,10.571
378,25.507,1991,34.21,10711,11.474,25.276,1987,39.052,13263,9.768,25.907,2029,38.697,8477,9.184,21.808,1676,23.783,50208,29.762,26.08,2055,47.733,7322,10.571
380,25.534,2042,34.345,10711,11.474,25.293,2038,39.186,13263,9.768,25.93,2081,38.834,8477,9.184,21.842,1720,23.898,50208,29.762,26.098,2107,47.87,7322,10.571
382,25.56,2093,34.479,10711,11.474,25.31,2089,39.318,13263,9.768,25.952,2133,38.97,8477,9.184,21.875,1764,24.013,50208,29.762,26.117,2159,48.007,7322,10.571
384,25.586,2144,34.613,10711,11.474,25.327,2139,39.451,13263,9.768,25.974,2185,39.106,8477,9.184,21.908,1807,24.127,50208,29.762,26.135,2211,48.144,7322,10.571
386,25.612,2195,34.746,10711,11.474,25.344,2190,39.582,13263,9.768,25.996,2237,39.241,8477,9.184,21.94,1851,24.241,50208,29.762,26.154,2264,48.28,7322,10.571
388,25.638,2246,34.878,10711,11.474,25.36,2241,39.713,13263,9.768,26.018,2289,39.375,8477,9.184,21.972,1895,24.355,50208,29.762,26.172,2316,48.415,7322,10.571
390,25.664,2298,35.01,10711,11.474,25.377,2291,39.844,13263,9.768,26.04,2341,39.509,8477,9.184,22.004,1939,24.468,50208,29.762,26.191,2368,48.549,7322,10.571
392,25.69,2349,35.141,10711,11.474,25.393,2342,39.973,13263,9.768,26.061,2393,39.642,8477,9.184,22.035,1983,24.58,50208,29.762,26.21,2421,48.683,7322,10.571
394,25.715,2401,35.272,10711,11.474,25.41,2393,40.103,13263,9.768,26.083,2445,39.775,8477,9.184,22.066,2027,24.693,50208,29.762,26.229,2473,48.817,7322,10.571
396,25.741,2452,35.402,10711,11.474,25.426,2444,40.231,13263,9.768,26.105,2498,39.907,8477,9.184,22.097,2071,24.804,50208,29.762,26.247,2526,48.95,7322,10.571
398,25.766,2504,35.532,10711,11.474,25.442,2495,40.36,13263,9.768,26.126,2550,40.039,8477,9.184,22.127,2116,24.916,50208,29.762,26.266,2578,49.082,7322,10.571
400,25.791,2555,35.661,10711,11.474,25.458,2545,40.487,13263,9.768,26.147,2602,40.17,8477,9.184,22.157,2160,25.027,50208,29.762,26.285,2631,49.214,7322,10.571
402,25.817,2607,35.79,10711,11.474,25.474,2596,40.614,13263,9.768,26.169,2654,40.3,8477,9.184,22.187,2204,25.137,50208,29.762,26.304,2683,49.345,7322,10.571
404,25.842,2658,35.918,10711,11.474,25.49,2647,40.741,13263,9.768,26.19,2707,40.43,8477,9.184,22.216,2249,25.247,50208,29.762,26.323,2736,49.475,7322,10.571
406,25.867,2710,36.046,10711,11.474,25.505,2698,40.867,13263,9.768,26.211,2759,40.559,8477,9.184,22.245,2293,25.357,50208,29.762,26.343,2788,49.605,7322,10.571
408,25.891,2762,36.173,10711,11.474,25.521,2749,40.992,13263,9.768,26.232,2812,40.688,8477,9.184,22.274,2338,25.467,50208,29.762,26.362,2841,49.735,7322,10.571
410,25.916,2814,36.3,10711,11.474,25.536,2800,41.117,13263,9.768,26.253,2864,40.817,8477,9.184,22.302,2382,25.576,50208,29.762,26.381,2894,49.864,7322,10.571
412,25.941,2865,36.426,10711,11.474,25.552,2852,41.241,13263,9.768,26.274,2917,40.944,8477,9.184,22.33,2427,25.684,50208,29.762,26.4,2947,49.992,7322,10.571
414,25.966,2917,36.552,10711,11.474,25.567,2903,41.365,13263,9.768,26.295,2969,41.072,8477,9.184,22.358,2472,25.792,50208,29.762,26.42,3000,50.12,7322,10.571
416,25.99,2969,36.677,10711,11.474,25.582,2954,41.488,13263,9.768,26.315,3022,41.198,8477,9.184,22.385,2516,25.9,50208,29.762,26.439,3052,50.248,7322,10.571
418,26.015,3021,36.802,10711,11.474,25.597,3005,41.611,13263,9.768,26.336,3074,41.325,8477,9.184,22.412,2561,26.008,50208,29.762,26.459,3105,50.374,7322,10.571
420,26.039,3073,36.926,10711,11.474,25.612,3056,41.733,13263,9.768,26.357,3127,41.45,8477,9.184,22.439,2606,26.115,50208,29.762,26.478,3158,50.501,7322,10.571
422,26.064,3125,37.05,10711,11.474,25.627,3107,41.855,13263,9.768,26.377,3180,41.576,8477,9.184,22.466,2651,26.221,50208,29.762,26.498,3211,50.627,7322,10.571
424,26.088,3178,37.173,10711,11.474,25.642,3159,41.976,13263,9.768,26.398,3233,41.7,8477,9.184,22.492,2696,26.328,50208,29.762,26.518,3264,50.752,7322,10.571
426,26.112,3230,37.296,10711,11.474,25.657,3210,42.097,13263,9.768,26.418,3285,41.825,8477,9.184,22.518,2741,26.434,50208,29.762,26.537,3317,50.877,7322,10.571
428,26.136,3282,37.418,10711,11.474,25.672,3261,42.217,13263,9.768,26.439,3338,41.948,8477,9.184,22.544,2786,26.539,50208,29.762,26.557,3370,51.001,7322,10.571
430,26.16,3334,37.54,10711,11.474,25.686,3313,42.337,13263,9.768,26.459,3391,42.072,8477,9.184,22.57,2831,26.644,50208,29.762,26.577,3423,51.125,7322,10.571
432,26.184,3387,37.661,10711,11.474,25.701,3364,42.456,13263,9.768,26.48,3444,42.195,8477,9.184,22.595,2876,26.749,50208,29.762,26.597,3477,51.248,7322,10.571
434,26.208,3439,37.782,10711,11.474,25.715,3415,42.575,13263,9.768,26.5,3497,42.317,8477,9.184,22.62,2921,26.853,50208,29.762,26.617,3530,51.371,7322,10.571
436,26.232,3492,37.903,10711,11.474,25.73,3467,42.693,13263,9.768,26.52,3550,42.439,8477,9.184,22.645,2967,26.958,50208,29.762,26.637,3583,51.494,7322,10.571
438,26.256,3544,38.023,10711,11.474,25.744,3518,42.811,13263,9.768,26.541,3603,42.56,8477,9.184,22.67,3012,27.061,50208,29.762,26.657,3636,51.616,7322,10.571
440,26.28,3597,38.143,10711,11.474,25.758,3570,42.928,13263,9.768,26.561,3656,42.681,8477,9.184,22.694,3057,27.165,50208,29.762,26.677,3690,51.737,7322,10.571
442,26.304,3649,38.262,10711,11.474,25.772,3621,43.045,13263,9.768,26.581,3709,42.802,8477,9.184,22.718,3103,27.268,50208,29.762,26.698,3743,51.858,7322,10.571
444,26.327,3702,38.381,10711,11.474,25.786,3673,43.161,13263,9.768,26.601,3763,42.922,8477,9.184,22.742,3148,27.37,50208,29.762,26.718,3797,51.979,7322,10.571
446,26.351,3754,38.499,10711,11.474,25.8,3725,43.277,13263,9.768,26.621,3816,43.041,8477,9.184,22.766,3194,27.472,50208,29.762,26.738,3850,52.099,7322,10.571
448,26.374,3807,38.617,10711,11.474,25.814,3776,43.393,13263,9.768,26.641,3869,43.161,8477,9.184,22.79,3239,27.574,50208,29.762,26.759,3903,52.218,7322,10.571
450,26.398,3860,38.735,10711,11.474,25.828,3828,43.508,13263,9.768,26.661,3922,43.279,8477,9.184,22.813,3285,27.676,50208,29.762,26.779,3957,52.338,7322,10.571
452,26.421,3913,38.852,10711,11.474,25.842,3879,43.622,13263,9.768,26.681,3976,43.398,8477,9.184,22.836,3331,27.777,50208,29.762,26.8,4011,52.457,7322,10.571
454,26.445,3966,38.968,10711,11.474,25.856,3931,43.736,13263,9.768,26.701,4029,43.515,8477,9.184,22.859,3376,27.878,50208,29.762,26.82,4064,52.575,7322,10.571
456,26.468,4019,39.085,10711,11.474,25.869,3983,43.85,13263,9.768,26.721,4083,43.633,8477,9.184,22.882,3422,27.979,50208,29.762,26.841,4118,52.693,7322,10.571
458,26.492,4072,39.201,10711,11.474,25.883,4035,43.963,13263,9.768,26.741,4136,43.75,8477,9.184,22.904,3468,28.079,50208,29.762,26.862,4172,52.81,7322,10.571
460,26.515,4125,39.316,10711,11.474,25.897,4086,44.076,13263,9.768,26.761,4190,43.866,8477,9.184,22.926,3514,28.179,50208,29.762,26.882,4225,52.927,7322,10.571
462,26.538,4178,39.431,10711,11.474,25.91,4138,44.188,13263,9.768,26.781,4243,43.982,8477,9.184,22.948,3559,28.278,50208,29.762,26.903,4279,53.044,7322,10.571
464,26.562,4231,39.546,10711,11.474,25.924,4190,44.3,13263,9.768,26.801,4297,44.098,8477,9.184,22.97,3605,28.377,50208,29.762,26.924,4333,53.16,7322,10.571
466,26.585,4284,39.66,10711,11.474,25.937,4242,44.412,13263,9.768,26.821,4350,44.214,8477,9.184,22.992,3651,28.476,50208,29.762,26.945,4387,53.276,7322,10.571
468,26.608,4337,39.774,10711,11.474,25.95,4294,44.523,13263,9.768,26.841,4404,44.328,8477,9.184,23.014,3697,28.575,50208,29.762,26.966,4441,53.392,7322,10.571
470,26.631,4390,39.888,10711,11.474,25.963,4346,44.634,13263,9.768,26.861,4458,44.443,8477,9.184,23.035,3743,28.673,50208,29.762,26.987,4495,53.507,7322,10.571
472,26.654,4444,40.001,10711,11.474,25.977,4398,44.744,13263,9.768,26.881,4511,44.557,8477,9.184,23.056,3789,28.771,50208,29.762,27.008,4549,53.621,7322,10.571
474,26.677,4497,40.114,10711,11.474,25.99,4450,44.854,13263,9.768,26.9,4565,44.671,8477,9.184,23.077,3836,28.868,50208,29.762,27.03,4603,53.736,7322,10.571
476,26.701,4550,40.226,10711,11.474,26.003,4502,44.963,13263,9.768,26.92,4619,44.784,8477,9.184,23.098,3882,28.965,50208,29.762,27.051,4657,53.849,7322,10.571
478,26.724,4604,40.338,10711,11.474,26.016,4554,45.072,13263,9.768,26.94,4673,44.897,8477,9.184,23.119,3928,29.062,50208,29.762,27.072,4711,53.963,7322,10.571
480,26.747,4657,40.45,10711,11.474,26.029,4606,45.181,13263,9.768,26.96,4727,45.009,8477,9.184,23.139,3974,29.159,50208,29.762,27.094,4765,54.076,7322,10.571
482,26.77,4711,40.561,10711,11.474,26.042,4658,45.289,13263,9.768,26.98,4781,45.122,8477,9.184,23.16,4021,29.255,50208,29.762,27.115,4819,54.189,7322,10.571
484,26.793,4764,40.672,10711,11.474,26.055,4710,45.397,13263,9.768,27,4835,45.233,8477,9.184,23.18,4067,29.351,50208,29.762,27.137,4874,54.301,7322,10.571
486,26.816,4818,40.782,10711,11.474,26.067,4762,45.505,13263,9.768,27.019,4889,45.345,8477,9.184,23.2,4113,29.447,50208,29.762,27.158,4928,54.413,7322,10.571
488,26.838,4872,40.892,10711,11.474,26.08,4814,45.612,13263,9.768,27.039,4943,45.456,8477,9.184,23.22,4160,29.542,50208,29.762,27.18,4982,54.525,7322,10.571
490,26.861,4925,41.002,10711,11.474,26.093,4866,45.718,13263,9.768,27.059,4997,45.566,8477,9.184,23.24,4206,29.637,50208,29.762,27.201,5037,54.636,7322,10.571
492,26.884,4979,41.112,10711,11.474,26.105,4919,45.825,13263,9.768,27.079,5051,45.677,8477,9.184,23.26,4253,29.732,50208,29.762,27.223,5091,54.747,7322,10.571
494,26.907,5033,41.221,10711,11.474,26.118,4971,45.931,13263,9.768,27.099,5105,45.787,8477,9.184,23.279,4299,29.826,50208,29.762,27.245,5145,54.857,7322,10.571
496,26.93,5087,41.33,10711,11.474,26.131,5023,46.036,13263,9.768,27.118,5159,45.896,8477,9.184,23.298,4346,29.92,50208,29.762,27.267,5200,54.967,7322,10.571
498,26.953,5140,41.438,10711,11.474,26.143,5075,46.141,13263,9.768,27.138,5214,46.005,8477,9.184,23.318,4392,30.014,50208,29.762,27.289,5255,55.077,7322,10.571
500,26.976,5194,41.546,10711,11.474,26.156,5128,46.246,13263,9.768,27.158,5268,46.114,8477,9.184,23.337,4439,30.108,50208,29.762,27.311,5309,55.186,7322,10.571
502,26.998,5248,41.654,10711,11.474,26.168,5180,46.35,13263,9.768,27.178,5322,46.223,8477,9.184,23.356,4486,30.201,50208,29.762,27.333,5364,55.295,7322,10.571
504,27.021,5302,41.761,10711,11.474,26.18,5232,46.455,13263,9.768,27.198,5377,46.331,8477,9.184,23.374,4532,30.294,50208,29.762,27.355,5418,55.404,7322,10.571
506,27.044,5356,41.868,10711,11.474,26.193,5285,46.558,13263,9.768,27.218,5431,46.438,8477,9.184,23.393,4579,30.386,50208,29.762,27.377,5473,55.513,7322,10.571
508,27.067,5411,41.975,10711,11.474,26.205,5337,46.662,13263,9.768,27.237,5485,46.546,8477,9.184,23.412,4626,30.479,50208,29.762,27.399,5528,55.621,7322,10.571
510,27.09,5465,42.081,10711,11.474,26.217,5389,46.765,13263,9.768,27.257,5540,46.653,8477,9.184,23.43,4673,30.571,50208,29.762,27.422,5583,55.728,7322,10.571
512,27.112,5519,42.187,10711,11.474,26.229,5442,46.867,13263,9.768,27.277,5595,46.76,8477,9.184,23.448,4720,30.662,50208,29.762,27.444,5638,55.836,7322,10.571
514,27.135,5573,42.293,10711,11.474,26.242,5494,46.97,13263,9.768,27.297,5649,46.866,8477,9.184,23.466,4767,30.754,50208,29.762,27.466,5693,55.943,7322,10.571
516,27.158,5627,42.399,10711,11.474,26.254,5547,47.071,13263,9.768,27.317,5704,46.972,8477,9.184,23.484,4814,30.845,50208,29.762,27.489,5748,56.049,7322,10.571
518,27.18,5682,42.504,10711,11.474,26.266,5599,47.173,13263,9.768,27.337,5758,47.078,8477,9.184,23.502,4861,30.936,50208,29.762,27.512,5803,56.156,7322,10.571
520,27.203,5736,42.608,10711,11.474,26.278,5652,47.274,13263,9.768,27.357,5813,47.183,8477,9.184,23.52,4908,31.026,50208,29.762,27.534,5858,56.262,7322,10.571
522,27.226,5791,42.713,10711,11.474,26.29,5704,47.375,13263,9.768,27.377,5868,47.288,8477,9.184,23.538,4955,31.117,50208,29.762,27.557,5913,56.368,7322,10.571
524,27.249,5845,42.817,10711,11.474,26.302,5757,47.476,13263,9.768,27.397,5923,47.393,8477,9.184,23.555,5002,31.207,50208,29.762,27.579,5968,56.473,7322,10.571
526,27.271,5900,42.921,10711,11.474,26.314,5810,47.576,13263,9.768,27.417,5977,47.497,8477,9.184,23.573,5049,31.297,50208,29.762,27.602,6023,56.578,7322,10.571
528,27.294,5954,43.024,10711,11.474,26.325,5862,47.676,13263,9.768,27.437,6032,47.601,8477,9.184,23.59,5096,31.386,50208,29.762,27.625,6078,56.683,7322,10.571
530,27.317,6009,43.128,10711,11.474,26.337,5915,47.775,13263,9.768,27.457,6087,47.705,8477,9.184,23.608,5143,31.475,50208,29.762,27.648,6133,56.787,7322,10.571
532,27.339,6063,43.231,10711,11.474,26.349,5968,47.875,13263,9.768,27.477,6142,47.809,8477,9.184,23.625,5191,31.564,50208,29.762,27.671,6189,56.892,7322,10.571
534,27.362,6118,43.333,10711,11.474,26.361,6020,47.974,13263,9.768,27.497,6197,47.912,8477,9.184,23.642,5238,31.653,50208,29.762,27.694,6244,56.995,7322,10.571
536,27.385,6173,43.436,10711,11.474,26.372,6073,48.072,13263,9.768,27.517,6252,48.015,8477,9.184,23.659,5285,31.741,50208,29.762,27.717,6300,57.099,7322,10.571
538,27.407,6228,43.538,10711,11.474,26.384,6126,48.17,13263,9.768,27.537,6307,48.117,8477,9.184,23.675,5332,31.829,50208,29.762,27.74,6355,57.202,7322,10.571
540,27.43,6283,43.639,10711,11.474,26.396,6179,48.268,13263,9.768,27.557,6362,48.219,8477,9.184,23.692,5380,31.917,50208,29.762,27.763,6411,57.305,7322,10.571
542,27.453,6337,43.741,10711,11.474,26.407,6231,48.366,13263,9.768,27.577,6417,48.321,8477,9.184,23.709,5427,32.005,50208,29.762,27.787,6466,57.408,7322,10.571
544,27.475,6392,43.842,10711,11.474,26.419,6284,48.463,13263,9.768,27.597,6473,48.423,8477,9.184,23.725,5475,32.092,50208,29.762,27.81,6522,57.51,7322,10.571
546,27.498,6447,43.943,10711,11.474,26.43,6337,48.56,13263,9.768,27.618,6528,48.524,8477,9.184,23.742,5522,32.179,50208,29.762,27.833,6577,57.612,7322,10.571
548,27.521,6502,44.043,10711,11.474,26.442,6390,48.657,13263,9.768,27.638,6583,48.625,8477,9.184,23.758,5570,32.266,50208,29.762,27.857,6633,57.714,7322,10.571
550,27.543,6557,44.144,10711,11.474,26.453,6443,48.753,13263,9.768,27.658,6638,48.726,8477,9.184,23.774,5617,32.353,50208,29.762,27.88,6689,57.816,7322,10.571
552,27.566,6612,44.244,10711,11.474,26.465,6496,48.849,13263,9.768,27.678,6694,48.826,8477,9.184,23.79,5665,32.439,50208,29.762,27.904,6745,57.917,7322,10.571
554,27.589,6668,44.343,10711,11.474,26.476,6549,48.945,13263,9.768,27.699,6749,48.926,8477,9.184,23.807,5712,32.525,50208,29.762,27.928,6800,58.018,7322,10.571
556,27.611,6723,44.443,10711,11.474,26.488,6602,49.04,13263,9.768,27.719,6804,49.026,8477,9.184,23.823,5760,32.611,50208,29.762,27.951,6856,58.119,7322,10.571
558,27.634,6778,44.542,10711,11.474,26.499,6655,49.135,13263,9.768,27.739,6860,49.126,8477,9.184,23.838,5808,32.697,50208,29.762,27.975,6912,58.219,7322,10.571
560,27.657,6833,44.641,10711,11.474,26.51,6708,49.23,13263,9.768,27.76,6915,49.225,8477,9.184,23.854,5855,32.782,50208,29.762,27.999,6968,58.319,7322,10.571
562,27.68,6889,44.74,10711,11.474,26.521,6761,49.325,13263,9.768,27.78,6971,49.324,8477,9.184,23.87,5903,32.867,50208,29.762,28.023,7024,58.419,7322,10.571
564,27.702,6944,44.838,10711,11.474,26.533,6814,49.419,13263,9.768,27.801,7026,49.423,8477,9.184,23.886,5951,32.952,50208,29.762,28.047,7080,58.519,7322,10.571
566,27.725,7000,44.936,10711,11.474,26.544,6867,49.513,13263,9.768,27.821,7082,49.521,8477,9.184,23.901,5999,33.036,50208,29.762,28.071,7136,58.618,7322,10.571
568,27.748,7055,45.034,10711,11.474,26.555,6920,49.607,13263,9.768,27.841,7138,49.619,8477,9.184,23.916,6046,33.121,50208,29.762,28.095,7193,58.717,7322,10.571
570,27.771,7111,45.132,10711,11.474,26.566,6973,49.7,13263,9.768,27.862,7193,49.717,8477,9.184,23.932,6094,33.205,50208,29.762,28.119,7249,58.816,7322,10.571
572,27.793,7166,45.229,10711,11.474,26.577,7026,49.793,13263,9.768,27.883,7249,49.815,8477,9.184,23.947,6142,33.289,50208,29.762,28.143,7305,58.914,7322,10.571
574,27.816,7222,45.326,10711,11.474,26.588,7079,49.886,13263,9.768,27.903,7305,49.912,8477,9.184,23.962,6190,33.372,50208,29.762,28.167,7361,59.013,7322,10.571
576,27.839,7277,45.423,10711,11.474,26.599,7133,49.978,13263,9.768,27.924,7361,50.009,8477,9.184,23.978,6238,33.456,50208,29.762,28.192,7418,59.111,7322,10.571
578,27.862,7333,45.519,10711,11.474,26.611,7186,50.071,13263,9.768,27.944,7417,50.106,8477,9.184,23.993,6286,33.539,50208,29.762,28.216,7474,59.208,7322,10.571
580,27.884,7389,45.616,10711,11.474,26.622,7239,50.163,13263,9.768,27.965,7473,50.203,8477,9.184,24.008,6334,33.622,50208,29.762,28.24,7531,59.306,7322,10.571
582,27.907,7445,45.712,10711,11.474,26.632,7292,50.254,13263,9.768,27.986,7529,50.299,8477,9.184,24.022,6382,33.704,50208,29.762,28.265,7587,59.403,7322,10.571
584,27.93,7500,45.807,10711,11.474,26.643,7346,50.346,13263,9.768,28.007,7585,50.395,8477,9.184,24.037,6430,33.787,50208,29.762,28.29,7644,59.5,7322,10.571
586,27.953,7556,45.903,10711,11.474,26.654,7399,50.437,13263,9.768,28.027,7641,50.491,8477,9.184,24.052,6478,33.869,50208,29.762,28.314,7700,59.597,7322,10.571
588,27.976,7612,45.998,10711,11.474,26.665,7452,50.527,13263,9.768,28.048,7697,50.586,8477,9.184,24.067,6526,33.951,50208,29.762,28.339,7757,59.693,7322,10.571
590,27.998,7668,46.093,10711,11.474,26.676,7506,50.618,13263,9.768,28.069,7753,50.682,8477,9.184,24.081,6574,34.033,50208,29.762,28.364,7814,59.79,7322,10.571
592,28.021,7724,46.188,10711,11.474,26.687,7559,50.708,13263,9.768,28.09,7809,50.777,8477,9.184,24.096,6623,34.114,50208,29.762,28.388,7870,59.886,7322,10.571
594,28.044,7780,46.282,10711,11.474,26.698,7612,50.798,13263,9.768,28.111,7865,50.872,8477,9.184,24.11,6671,34.196,50208,29.762,28.413,7927,59.982,7322,10.571
596,28.067,7836,46.377,10711,11.474,26.708,7666,50.888,13263,9.768,28.132,7921,50.966,8477,9.184,24.125,6719,34.277,50208,29.762,28.438,7984,60.077,7322,10.571
598,28.09,7893,46.471,10711,11.474,26.719,7719,50.978,13263,9.768,28.153,7978,51.06,8477,9.184,24.139,6767,34.357,50208,29.762,28.463,8041,60.172,7322,10.571
600,28.113,7949,46.565,10711,11.474,26.73,7773,51.067,13263,9.768,28.174,8034,51.154,8477,9.184,24.153,6816,34.438,50208,29.762,28.488,8098,60.267,7322,10.571
